r,x,y
2.16506350946,2.5,3.07674029821e-16
2.16506350946,-1.25,2.16506350946
2.16506350946,-1.25,-2.16506350946
4.66506350946,0.0,0.0
1.04501732076,1.81002309435,3.13505196229
0.251526508616,1.16175117966,2.01221206893
0.113095981953,0.979439934376,1.6964397293
0.0642843281106,0.890749779344,1.54282387465
0.0414640874394,0.837875571569,1.45124306038
0.0289635609939,0.802661747352,1.39025092771
0.0213754925169,0.777492220597,1.34665602856
0.0164240087527,0.758592469962,1.31392070021
0.00613198765873,0.803649172674,1.35516927258
0.00613198765873,0.771786430145,1.37356523556
0.00849266461789,0.83845441676,1.40128966195
0.00399792940608,0.849419667718,1.40727115094
0.00355421429375,0.835174817756,1.38969778886
0.00283831056551,0.829181880735,1.40780204049
0.00849266461789,0.794325236931,1.42676765581
0.00399792940608,0.794022732867,1.43925458619
0.00355421429375,0.785926179854,1.41813150321
0.00283831056551,0.804601390199,1.42199359332
0.0125300449141,0.889809650903,1.46601525495
0.00596891506309,0.90633869095,1.47432202058
0.00348072296209,0.914366334307,1.47930725889
0.00208310122146,0.90441464632,1.46650325991
0.00190354538756,0.898992177494,1.47715122075
0.0051754817437,0.884467470262,1.44913488824
0.00281066604861,0.881147168272,1.44187168293
0.00191255672743,0.891101619128,1.45163055612
0.00168399374211,0.88086234173,1.45497059318
0.00419285874883,0.876310822086,1.47588627959
0.00209846131293,0.871102439607,1.47941522562
0.00155373017791,0.881796745344,1.47759739919
0.00149410615036,0.87642454952,1.47020045196
0.0125300449141,0.824701627666,1.50360538969
0.00596891506309,0.823630977708,1.52207334109
0.00348072296209,0.823934499046,1.53151810332
0.00208310122146,0.817821754651,1.51649768922
0.00190354538756,0.829754393653,1.51712567389
0.0051754817437,0.812753891592,1.49053874219
0.00281066604861,0.808123922283,1.48403167366
0.00191255672743,0.811598128946,1.49753191758
0.00168399374211,0.81961032459,1.49033446177
0.00419285874883,0.839999600176,1.49685057333
0.00209846131293,0.845659948325,1.49410445481
0.00155373017791,0.838738511593,1.50245708204
0.00149410615036,0.83501866529,1.49410615036
0.02030137126,0.972843179438,1.56320558702
0.00984567141917,1.00045458378,1.57530742707
0.00579760386965,1.0142161909,1.58274585642
0.00381664122031,1.02244201988,1.58772274765
0.00185121157768,1.01215123506,1.57538105261
0.00176888689877,1.00696958459,1.5849226613
0.00340446185829,0.996542453956,1.56264799295
0.00170842001098,0.994247607252,1.55807905001
0.00134722717045,1.00105687477,1.56413074489
